2015-06-01 21:25:47 [Thread-112] INFO  com.boliao.sunshine.fetchers.URLFetcher(line-42) 6937  - URLFetcher£ºstart to fetch this url : http://hr.tencent.com/position.php?keywords=&tid=87&start=150#a
2015-06-01 21:25:47 [pool-2-thread-13] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 6949  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:47 [pool-2-thread-3] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 6949  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:47 [pool-2-thread-19] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 6944  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:47 [pool-2-thread-87] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 6960  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:47 [pool-2-thread-33] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 6968  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:48 [pool-2-thread-35] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 7065  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:48 [pool-1-thread-2] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 7122  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:48 [pool-2-thread-28] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 7140  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:48 [pool-2-thread-94] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 7143  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:48 [pool-2-thread-57] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 7146  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:48 [pool-2-thread-5] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 7149  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:48 [pool-2-thread-44] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 7163  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:48 [pool-2-thread-31] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 7163  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:48 [pool-2-thread-67] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 7161  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:48 [pool-1-thread-2] INFO  com.boliao.sunshine.fetchers.URLFetcher(line-42) 7156  - URLFetcher£ºthe url: http://talent.baidu.com/baidu/web/templet1000/index/corpwebPosition1000baidu!getPostListByConditionBaidu?pc.currentPage=16&pc.rowSize=10&releaseTime=0&keyWord=&positionType=0%2F1227%2F10002&trademark=1&workPlaceCode=&positionName=&recruitType=2&brandCode=1&searchType=1&workPlaceNameV=&positionTypeV=0%2F1227%2F10002&keyWordV= is fetched done.
2015-06-01 21:25:48 [pool-2-thread-22] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 7156  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:48 [pool-1-thread-1] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 7150  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
2015-06-01 21:25:48 [pool-2-thread-65] WARN  org.apache.commons.httpclient.HttpMethodBase(line-682) 7149  - Going to buffer response body of large or unknown size. Using getResponseBodyAsStream instead is recommended.
